,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,port hedland,-20.3167,118.5667,64.4,36,0,10.36,1619124759
1,albany,42.6001,-73.9662,42.01,33,88,15.01,1619124940
2,puerto asis,0.5133,-76.5007,89.6,58,40,5.75,1619124759
3,ermelo,-26.5333,29.9833,52.52,62,89,3.36,1619124760
4,atuona,-9.8,-139.0333,80.8,76,59,20.85,1619124689
5,tubuala,9.5167,-79.0333,91.4,62,40,6.91,1619124760
6,rikitea,-23.1203,-134.9692,77.97,75,75,17.87,1619124773
7,mataura,-46.1927,168.8643,46.0,98,96,3.0,1619124437
8,rio gallegos,-51.6226,-69.2181,51.8,66,75,4.61,1619124774
9,ostrovnoy,68.0531,39.5131,33.8,93,100,9.15,1619124941
10,weligama,5.9667,80.4167,78.53,87,28,8.19,1619124941
11,radyvyliv,50.1299,25.2558,38.41,95,97,6.98,1619124942
12,hermanus,-34.4187,19.2345,69.01,78,0,1.01,1619124851
13,isangel,-19.55,169.2667,79.41,82,28,8.99,1619124339
14,saint-philippe,-21.3585,55.7679,77.0,83,90,19.57,1619124898
15,qaanaaq,77.484,-69.3632,19.29,78,98,12.46,1619124518
16,dakoro,14.5106,6.765,87.64,30,100,10.16,1619124942
17,hobart,-42.8794,147.3294,51.8,58,75,6.91,1619124461
18,bluff,-46.6,168.3333,46.0,98,100,3.0,1619124207
19,acarau,-2.8856,-40.12,79.57,80,13,7.96,1619124943
20,ushuaia,-54.8,-68.3,44.6,87,75,5.75,1619124775
21,torbay,47.6666,-52.7314,42.01,75,90,16.11,1619124501
22,palmer,42.1584,-72.3287,46.4,29,75,19.57,1619124687
23,leningradskiy,69.3833,178.4167,32.02,72,86,3.47,1619124943
24,tasiilaq,65.6145,-37.6368,30.2,59,75,17.27,1619124204
25,touros,-5.1989,-35.4608,82.4,78,40,11.5,1619124732
26,chokurdakh,70.6333,147.9167,-3.08,98,99,6.29,1619124721
27,tuktoyaktuk,69.4541,-133.0374,10.4,79,40,9.22,1619124442
28,port augusta,-32.5,137.7667,52.0,93,18,6.91,1619124944
29,kodiak,57.79,-152.4072,42.8,87,90,14.97,1619124684
30,gasa,31.5,34.4667,64.0,72,0,5.75,1619124945
31,amarante do maranhao,-5.5667,-46.7422,75.87,91,87,0.96,1619124850
32,antigonish,45.6169,-61.9986,44.01,71,49,15.99,1619124945
33,manta,-0.95,-80.7333,82.4,74,20,11.5,1619124945
34,castro,-24.7911,-50.0119,59.54,81,100,3.02,1619124210
35,esperance,-33.8667,121.9,53.6,94,99,8.05,1619124756
36,lebedinyy,58.5167,125.5167,12.97,93,100,7.52,1619124946
37,ismailia,30.6043,32.2723,60.53,67,0,7.92,1619124793
38,wajima,37.4,136.9,49.15,82,7,14.45,1619124946
39,thompson,55.7435,-97.8558,23.0,74,90,18.41,1619124741
40,goderich,43.7501,-81.7165,37.4,60,72,13.8,1619124684
41,byron bay,-28.65,153.6167,51.8,62,0,8.05,1619124622
42,antofagasta,-23.65,-70.4,64.4,72,20,11.5,1619124899
43,punta arenas,-53.15,-70.9167,48.2,81,75,6.91,1619124605
44,mahajanga,-15.7167,46.3167,78.8,78,40,4.61,1619124947
45,ayan,56.45,138.1667,28.51,89,100,4.18,1619124947
46,iskateley,67.6803,53.1512,35.49,97,100,13.6,1619124948
47,kruisfontein,-34.0033,24.7314,66.99,81,6,5.01,1619124948
48,cape town,-33.9258,18.4232,64.0,88,0,9.22,1619124695
49,lompoc,34.6391,-120.4579,55.4,71,25,13.8,1619124739
50,leku,6.8667,38.45,59.04,94,100,3.31,1619124948
51,nikolskoye,59.7035,30.7861,46.0,87,90,2.24,1619124528
52,bethel,41.3712,-73.414,46.99,31,75,17.27,1619124724
53,avarua,-21.2078,-159.775,75.2,94,90,17.27,1619124522
54,praia da vitoria,38.7333,-27.0667,57.2,82,75,29.91,1619124739
55,fontanka,46.5626,30.8607,51.8,82,0,8.95,1619124949
56,wattegama,6.7989,81.4808,75.18,91,19,2.71,1619124949
57,codrington,-38.2667,141.9667,54.41,74,100,9.93,1619124950
58,georgetown,5.4112,100.3354,78.01,94,40,2.3,1619124588
59,hilo,19.7297,-155.09,80.6,57,40,9.22,1619124439
60,severo-kurilsk,50.6789,156.125,34.66,95,67,4.88,1619124730
61,fortuna,40.5982,-124.1573,57.99,87,75,10.36,1619124727
62,bredasdorp,-34.5322,20.0403,57.2,94,2,3.44,1619124451
63,abu kamal,34.4506,40.9171,73.36,24,47,9.37,1619124950
64,yar-sale,66.8333,70.8333,35.19,87,100,18.01,1619124951
65,nhulunbuy,-12.2333,136.7667,80.6,78,98,13.8,1619124695
66,ribeira grande,38.5167,-28.7,59.0,72,40,33.38,1619124612
67,rock sound,24.9,-76.2,78.71,75,12,1.45,1619124951
68,kavieng,-2.5744,150.7967,80.94,76,97,7.63,1619124721
69,pisco,-13.7,-76.2167,69.8,78,0,11.5,1619124952
70,hambantota,6.1241,81.1185,79.3,84,16,12.01,1619124518
71,khatanga,71.9667,102.5,21.49,96,99,3.6,1619124458
72,olafsvik,64.8945,-23.7142,42.24,91,100,19.6,1619124952
73,fukue,32.6881,128.8419,65.52,71,100,1.32,1619124952
74,bengkulu,-3.8004,102.2655,73.94,88,82,3.53,1619124953
75,sitka,57.0531,-135.33,51.8,37,1,5.75,1619124490
76,morro bay,35.3658,-120.8499,57.0,71,90,6.91,1619124952
77,pangnirtung,66.1451,-65.7125,21.2,86,75,6.91,1619124705
78,los llanos de aridane,28.6585,-17.9182,69.8,68,90,4.61,1619124205
79,port macquarie,-31.4333,152.9167,46.0,92,0,6.08,1619124684
80,vitim,59.4511,112.5578,23.16,89,99,9.44,1619124953
81,port alfred,-33.5906,26.891,68.47,77,75,19.06,1619124710
82,upernavik,72.7868,-56.1549,27.54,84,99,7.45,1619124606
83,lalmohan,22.3384,90.7419,80.31,76,6,5.95,1619124954
84,hithadhoo,-0.6,73.0833,82.63,73,45,7.56,1619124936
85,oxelosund,58.6706,17.1015,32.0,100,0,3.44,1619124927
86,puerto ayora,-0.7393,-90.3518,84.2,70,20,18.41,1619124562
87,doume,4.2333,13.45,70.65,96,100,5.21,1619124954
88,pevek,69.7008,170.3133,19.6,70,39,11.23,1619124955
89,cidreira,-30.1811,-50.2056,69.67,72,1,15.59,1619124955
90,esil,51.9556,66.4042,41.22,48,95,13.38,1619124955
91,busselton,-33.65,115.3333,57.0,82,98,1.01,1619124956
92,barra patuca,15.8,-84.2833,83.64,60,0,11.88,1619124956
93,puerto el triunfo,13.2833,-88.55,100.4,30,0,3.44,1619124956
94,nahrin,36.0649,69.1334,51.57,27,0,3.53,1619124956
95,kapaa,22.0752,-159.319,78.01,83,40,9.22,1619124613
96,klaksvik,62.2266,-6.589,42.8,81,75,2.3,1619124722
97,belyy yar,53.6039,91.3903,26.6,54,0,6.71,1619124957
98,saskylakh,71.9167,114.0833,4.37,97,100,5.41,1619124440
99,port elizabeth,-33.918,25.5701,64.4,94,40,14.97,1619124452
100,maldonado,-34.6667,-54.9167,73.99,64,40,13.8,1619124502
101,kresttsy,58.2452,32.5165,47.35,72,91,7.99,1619124958
102,saint george,37.1041,-113.5841,75.99,18,1,3.44,1619124739
103,muros,42.7762,-9.0603,55.99,86,77,5.82,1619124958
104,rajanpur,29.1035,70.325,82.0,26,0,14.61,1619124958
105,kuching,1.55,110.3333,73.4,94,20,3.56,1619124959
106,srednekolymsk,67.45,153.6833,10.29,91,93,1.92,1619124959
107,katsuura,35.1333,140.3,51.01,71,75,14.97,1619124959
108,bagdarin,54.4333,113.6,16.7,54,38,3.49,1619124959
109,yerbogachen,61.2767,108.0108,25.52,93,100,12.64,1619124960
110,chapais,49.7834,-74.8492,32.0,47,75,11.5,1619124831
111,ambilobe,-13.2,49.05,73.78,87,92,3.87,1619124732
112,disna,55.568,28.1971,39.72,77,100,8.05,1619124960
113,vaini,-21.2,-175.2,80.6,83,20,2.3,1619124630
114,mancora,-4.1078,-81.0475,86.0,54,0,16.11,1619124961
115,provideniya,64.3833,-173.3,37.4,56,0,11.18,1619124690
116,dale,38.1689,-86.99,57.2,35,1,13.8,1619124961
117,malakal,9.5334,31.6605,85.17,52,87,9.98,1619124962
